1.736865,0.403347,1.610517,0.342827
1.361939,0.356299,1.343549,0.258785
1.414108,0.372329,1.480616,0.283563
2.854783,0.585197,2.691865,0.583211
2.656576,0.543093,2.416611,0.553967
2.234586,0.542973,2.549431,0.527573
2.594363,0.556054,2.628166,0.555808
2.360563,0.490275,2.138990,0.491248
1.700727,0.435682,2.044085,0.380440
1.821094,0.447460,1.898569,0.379683
2.054419,0.496162,2.160038,0.488816
1.857321,0.450447,1.863930,0.377929
2.646823,0.610894,3.210574,0.646742
1.173843,0.349253,1.267316,0.242310
1.957502,0.455861,2.101939,0.392266
1.437586,0.350930,1.181501,0.245296
1.766648,0.449226,2.034395,0.387128
2.521745,0.520851,2.449379,0.491049
1.511483,0.410937,1.691962,0.356949
1.461835,0.383937,1.493327,0.303782
1.605586,0.424788,1.725327,0.347827
3.307109,0.672940,3.048706,0.788145
1.098898,0.329669,1.098898,0.219780
1.946006,0.452395,1.994734,0.412384
2.962823,0.615675,2.613925,0.655772
1.545389,0.392578,1.599253,0.304034
2.540313,0.570742,2.674573,0.571104
1.517391,0.406374,1.859236,0.320046
3.188879,0.668800,3.094052,0.738104
1.494156,0.391200,1.563405,0.306341
2.051433,0.487963,1.872026,0.432657
1.400051,0.373856,1.345912,0.273914
1.500864,0.371209,1.616226,0.282850
2.243287,0.488911,2.271190,0.479182
2.385577,0.509559,2.356642,0.464050
3.002702,0.612420,3.107108,0.675697
2.347087,0.482804,2.061744,0.443034
1.439931,0.356522,1.302098,0.272975
1.650555,0.411750,1.698486,0.322039
2.717457,0.590814,2.767219,0.623706
1.651365,0.411188,1.770396,0.328083
3.018475,0.609796,3.189653,0.649637
2.424912,0.552002,2.545522,0.575457
1.407272,0.400206,1.553321,0.331756
1.413129,0.353566,1.281854,0.260247
1.555621,0.382562,1.540426,0.306712
2.052895,0.460126,1.783730,0.422119
1.670063,0.424718,1.901011,0.340670
2.267124,0.523646,2.224117,0.532634
3.454125,0.649811,3.312494,0.740779
1.456200,0.374135,1.347794,0.271043
1.123368,0.336263,1.125306,0.226624
2.017707,0.466543,1.919889,0.418794
1.440609,0.352670,1.285700,0.247926
2.755249,0.611185,3.222042,0.663081
1.714381,0.405857,1.741782,0.329658
2.974002,0.609592,3.239110,0.638137
1.463739,0.362851,1.323215,0.264825
2.305924,0.543015,2.496093,0.521338
2.362694,0.559523,2.690874,0.541801
1.553640,0.417330,1.853921,0.337278
1.296042,0.335342,1.160357,0.237158
1.743201,0.437692,2.051931,0.378789
1.973906,0.467698,2.171082,0.425516
1.453265,0.410234,1.716634,0.364224
1.784021,0.450357,2.010012,0.401562
1.106231,0.331190,1.212704,0.223205
1.461764,0.372502,1.274632,0.277627
1.124835,0.336133,1.124313,0.226983
2.789472,0.607752,2.877707,0.626193
2.894368,0.618179,3.126992,0.652584
2.120868,0.492676,2.105730,0.440958
1.239829,0.366490,1.238815,0.256316
1.232701,0.340846,1.141667,0.234363
1.404530,0.373396,1.358085,0.271427
2.282661,0.533576,2.667033,0.516235
1.202606,0.340837,1.252627,0.239542
1.375011,0.362469,1.588861,0.261932
1.454002,0.383049,1.594893,0.332550
3.185280,0.689612,3.590737,0.823511
2.059357,0.496830,2.355304,0.467354
1.301298,0.344285,1.188757,0.238990
1.098898,0.329669,1.098898,0.219780
2.473422,0.493500,2.123231,0.452418
1.696440,0.404294,1.707480,0.328950
3.024664,0.604481,2.860995,0.646566
2.053452,0.439229,1.896434,0.371174
3.257402,0.668183,3.176338,0.751952
2.652708,0.560521,2.505522,0.587687
1.567621,0.403057,1.400357,0.336672
1.251809,0.353747,1.286054,0.253917
1.268230,0.339682,1.145384,0.237137
1.098898,0.329669,1.098898,0.219780
2.842012,0.578271,2.709119,0.606635
1.819120,0.477003,1.885385,0.420724
2.652243,0.560566,2.457486,0.561491
3.380240,0.676049,3.550264,0.766370
2.522467,0.499138,2.034439,0.470171
3.248338,0.653263,3.134517,0.709357
2.427709,0.541548,2.659203,0.539677
1.182130,0.344046,1.238779,0.245774
1.907030,0.460382,2.164296,0.439170
1.231933,0.340990,1.141725,0.231861
3.070202,0.693425,3.097200,0.759245
2.607508,0.544289,2.357290,0.549678
1.860130,0.410424,1.507339,0.329196
1.611154,0.382856,1.498283,0.296777
2.495662,0.490037,2.129757,0.455816
3.124308,0.589741,2.753729,0.594471
2.764200,0.564365,2.715820,0.586884
1.749535,0.440481,1.830585,0.391554
3.150594,0.651938,3.004233,0.722001
3.659101,0.711854,3.113687,0.851207
2.152937,0.479687,2.112479,0.449923
3.454884,0.649195,3.199277,0.758959
2.997341,0.596592,2.893926,0.636091
2.347264,0.499010,2.208329,0.470328
2.241740,0.521024,2.420531,0.484446
1.238377,0.341881,1.145316,0.234856
2.333629,0.493524,2.007212,0.439178
1.236501,0.341993,1.307283,0.235675
3.252152,0.664951,3.198834,0.735283
2.444874,0.523501,2.220343,0.475519
2.509996,0.580336,2.748103,0.608091
1.286520,0.371703,1.491179,0.274160
1.621182,0.400653,1.694392,0.321396
2.620622,0.515386,2.469925,0.505159
2.216356,0.468914,2.136830,0.450757
1.660936,0.437650,1.705303,0.381272
2.004514,0.470528,2.137156,0.420843
1.836408,0.410177,1.564490,0.321015
2.024672,0.465878,1.807060,0.414663
2.079795,0.473114,2.337022,0.424544
1.344395,0.352958,1.232055,0.246331
1.416484,0.375124,1.364011,0.275602
3.114304,0.624188,2.824372,0.670832
2.314201,0.537618,2.453356,0.542251
2.025444,0.473101,2.075128,0.413477
2.310501,0.546569,2.441589,0.525418
2.718067,0.528818,2.327694,0.510916
2.968874,0.601114,2.715957,0.631969
2.004580,0.489801,2.161182,0.466221
1.762855,0.417541,1.583999,0.337996
2.816396,0.598234,2.580042,0.658263
1.782997,0.431594,1.558892,0.371969
2.478157,0.509563,2.199804,0.503636
1.265559,0.350090,1.267089,0.244378
2.585061,0.564335,2.592498,0.623977
2.023357,0.471888,2.305549,0.443419
2.323816,0.514080,2.077418,0.454629
2.117685,0.458898,2.217687,0.409263
3.058522,0.673824,3.229981,0.782227
1.190260,0.348967,1.195435,0.248905
2.342163,0.521094,2.537244,0.495017
2.737280,0.538342,2.466048,0.557521
3.126150,0.637866,3.078857,0.681794
1.374145,0.356541,1.278477,0.258495
2.590425,0.551752,2.488762,0.556370
2.381859,0.495124,2.366264,0.449217
1.789248,0.409873,2.014452,0.344934
1.111030,0.333049,1.111263,0.223063
2.854747,0.572781,2.953085,0.592453
2.851708,0.641143,3.138363,0.701202
2.750856,0.547771,2.496429,0.558904
2.467619,0.572766,2.597579,0.578200
1.897758,0.446946,1.955036,0.399607
1.744268,0.430800,1.734100,0.355275
2.778291,0.582097,2.575378,0.592635
1.410374,0.371945,1.411745,0.271654
1.188693,0.350002,1.180217,0.245773
2.958376,0.621411,2.829716,0.643585
1.500070,0.370033,1.474693,0.281117
3.233185,0.658735,2.816823,0.713892
2.926311,0.581004,2.858646,0.613043
2.502132,0.550792,2.302914,0.551911
2.304714,0.493228,2.282728,0.467592
1.446574,0.385403,1.452551,0.287169
1.294596,0.353756,1.260927,0.251411
1.163454,0.346770,1.161430,0.236402
1.213382,0.337525,1.416868,0.233939
2.944542,0.628751,2.860720,0.674747
1.935406,0.486942,2.310588,0.464870
1.707608,0.442246,2.032423,0.374073
1.933685,0.443547,1.742321,0.381147
1.175939,0.351214,1.267023,0.243677
3.167539,0.638394,3.146920,0.708765
1.486696,0.395497,1.452358,0.292985
1.773647,0.417386,1.663601,0.336377
1.146281,0.341706,1.219919,0.234667
1.687871,0.419142,1.744056,0.364514
3.125863,0.661664,2.999013,0.742558
1.263404,0.336645,1.133399,0.232417
1.964963,0.459867,1.973614,0.408130
1.694040,0.418400,1.762203,0.349702
1.936886,0.457884,2.034791,0.394527
2.305374,0.532254,2.391460,0.505781
3.064496,0.649124,3.239038,0.710391
2.242095,0.490283,2.518221,0.467682
1.972371,0.459084,2.065780,0.394925
1.433933,0.385330,1.459358,0.307700
2.009579,0.471163,2.034859,0.438962
2.852696,0.605959,2.657954,0.629343
3.292146,0.678953,3.358611,0.771518
1.124223,0.336390,1.123677,0.226820
3.069702,0.600230,2.724463,0.633195
1.468079,0.372914,1.368387,0.275887
2.084352,0.468676,1.996514,0.404967
1.828942,0.454050,1.887895,0.423951
2.468793,0.556395,2.560467,0.570276
1.926435,0.478552,2.059664,0.414670
1.740868,0.428168,1.748574,0.355279
2.013499,0.440102,1.950076,0.414657
1.987881,0.455459,1.982386,0.394965
2.924295,0.606432,2.954350,0.655461
2.953442,0.643606,3.151831,0.728426
1.944443,0.423941,1.705576,0.351361
1.446408,0.372386,1.399464,0.291540
2.801740,0.599681,2.646020,0.654321
2.063706,0.485161,2.020805,0.463920
1.915354,0.444117,1.719903,0.405949
1.555471,0.367067,1.354532,0.272799
1.675905,0.442094,1.901085,0.399210
2.076188,0.456797,1.920342,0.383967
1.753469,0.398219,1.389126,0.312205
2.841764,0.620964,2.852852,0.677163
2.439120,0.519365,2.292805,0.493795
2.455163,0.539154,2.508427,0.533143
1.668048,0.394162,1.682212,0.330020
3.160119,0.684591,3.152960,0.782544
3.100415,0.632573,3.092387,0.736474
2.095445,0.488656,1.905809,0.452432
2.050901,0.429599,1.724924,0.371442
2.390177,0.534342,2.400063,0.514568
2.352564,0.538720,2.963025,0.538162
2.669375,0.580579,2.690822,0.626646
1.169221,0.346078,1.168060,0.241598
1.462374,0.394529,1.682190,0.303964
1.785009,0.406880,1.718777,0.332760
